Fruit,Temp,Humid (%),Light (Fux),CO2 (pmm),Class
Tomato,23,91,9.757364232,359,Good
Tomato,23,91,8.214906999,370,Good
Orange,22,95,7.404343951,353,Good
Orange,23,85,4.22124279,325,Good
Banana,25,89,19.63480231,395,Good
Tomato,24,89,13.80304952,398,Good
Banana,24,95,12.41021712,243,BAD
Orange,23,95,20.06947764,331,Bad
Tomato,25,95,16.02789778,328,Bad
Tomato,25,95,15.76515749,321,Bad
Tomato,23,92,10.52137857,356,Good
Orange,24,95,14.67251295,399,Bad
Tomato,23,90,12.83585424,330,Good
Pineapple,22,95,12.69256136,338,Good
Banana,26,90,19.20950925,385,Good
Tomato,25,95,15.67848238,313,Bad
Pineapple,25,95,13.72638492,397,Bad
Pineapple,24,95,14.1136139,343,Good
Orange,23,92,4.870193845,343,Good
Pineapple,25,95,11.20647613,313,Bad
Pineapple,24,95,13.12676612,329,Good
Pineapple,25,95,11.27059687,292,Bad
Pineapple,25,95,11.14266773,301,Bad
Banana,24,95,20.51379641,323,Good
Tomato,23,89,8.0671142,301,Good
Orange,24,95,15.33623116,375,Bad
Tomato,25,95,12.98058343,378,Bad
Tomato,23,90,12.90803823,329,Good
Orange,23,95,14.83589827,216,Bad
Tomato,23,88,7.358649263,296,Good
Banana,26,90,19.63480231,399,Good
Tomato,26,88,7.22284254,390,Good
Tomato,23,88,7.177995872,288,Good
Orange,23,95,7.542720421,300,Good
Banana,24,87,13.65010619,336,Good
Orange,22,95,8.31460431,371,Good
Pineapple,25,95,11.20647613,294,Bad
Tomato,23,91,13.80304952,327,Good
Tomato,23,90,12.83585424,328,Good
Tomato,23,89,7.683058499,295,Good
Orange,23,95,8.31460431,176,Good
Tomato,25,95,13.80304952,365,Bad
Pineapple,22,95,12.62144823,339,Good
Pineapple,22,93,12.62144823,341,Good
Tomato,23,95,11.99705843,373,Good
Tomato,22,93,11.92938136,354,Good
Banana,24,95,17.02725828,248,BAD
Tomato,24,95,12.27113269,372,Good
Orange,23,95,16.74896501,247,Bad
Banana,24,95,11.66198098,42,BAD
Banana,24,95,16.93400512,254,BAD
Orange,22,95,6.529850053,292,Good
Pineapple,25,95,9.8718154,332,Bad
Tomato,24,95,12.20210529,360,Good
Tomato,23,89,8.214906999,301,Good
Orange,23,95,16.11639251,256,Bad
Tomato,25,95,15.42113219,319,Bad
Pineapple,25,95,11.27059687,299,Bad
Orange,22,95,8.415248038,178,Good
Pineapple,22,94,13.27441976,325,Good
Orange,22,95,7.730278953,180,Good
Tomato,24,95,16.11639251,343,Bad
Orange,22,95,7.542720421,297,Good
Banana,25,86,13.57421101,339,Good
Banana,25,95,14.1136139,38,BAD
Banana,25,89,18.89654455,382,Good
Orange,22,95,6.740875089,250,Good
Tomato,24,95,9.644005982,425,Good
Orange,23,95,19.74258151,347,Bad
Banana,26,95,14.03538213,311,Good
Banana,24,95,18.89654455,281,BAD
Orange,24,95,15.42113219,370,Bad
Tomato,22,91,13.42356205,333,Good
Orange,23,95,4.938486566,272,Good
Orange,22,95,7.358649263,347,Good
Orange,22,95,7.404343951,358,Good
Orange,22,95,5.886678992,262,Good
Orange,24,95,18.89654455,266,Bad
Pineapple,22,95,12.62144823,326,Good
Orange,22,95,7.404343951,348,Good
Pineapple,25,95,9.644005982,302,Bad
Tomato,24,95,16.65717174,356,Bad
Orange,24,95,14.75399666,363,Bad
Pineapple,25,95,10.16280412,294,Bad
Tomato,25,95,15.50647254,323,Bad
Orange,24,95,14.91822038,412,Bad
Tomato,23,89,7.825388265,299,Good
Orange,24,95,16.74896501,205,Bad
Banana,25,87,14.1136139,331,Good
Tomato,23,90,12.90803823,333,Good
Tomato,24,95,14.75399666,320,Bad
Pineapple,22,89,12.62144823,330,Good
Pineapple,23,95,12.90803823,348,Good
Pineapple,25,95,13.20040797,409,Bad
Orange,23,95,17.5009837,400,Bad
Orange,24,95,15.08413665,375,Bad
Orange,23,95,5.147226326,304,Good
Tomato,25,95,16.47502321,361,Bad
Orange,23,95,16.84124175,248,Bad
Pineapple,22,95,12.83585424,335,Good
Orange,23,95,15.08413665,379,Bad
Banana,25,86,13.57421101,348,Good
Orange,22,95,7.404343951,351,Good
Tomato,24,76,17.30998858,466,Good
Orange,23,95,16.84124175,248,Bad
Pineapple,25,95,9.987371503,304,Bad
Tomato,24,90,8.116146322,290,Good
Banana,25,89,20.17964285,399,Good
Orange,23,95,8.415248038,177,Good
Orange,22,95,7.133358572,298,Good
Tomato,23,90,12.76402932,320,Good
Pineapple,23,95,12.20210529,324,Good
Orange,23,95,19.85095108,359,Bad
Tomato,23,91,8.214906999,369,Good
Orange,23,95,4.570643409,347,Good
Pineapple,25,95,11.862037,370,Bad
Orange,22,95,8.264637967,174,Good
Tomato,23,90,12.90803823,328,Good
Orange,23,95,15.33623116,251,Bad
Tomato,23,90,12.98058343,316,Good
Orange,22,95,7.589280351,350,Good
Orange,23,95,19.85095108,326,Bad
Pineapple,23,95,12.76402932,321,Good
Orange,23,95,8.31460431,177,Good
Orange,23,95,14.83589827,409,Bad
Pineapple,25,95,6.740875089,445,Bad
Tomato,22,92,10.28117628,359,Good
Pineapple,25,95,10.52137857,449,Bad
Pineapple,25,95,10.10404473,357,Bad
Tomato,23,89,9.255689372,308,Good
Tomato,24,94,10.76627794,386,Good
Banana,25,86,13.88010234,350,Good
Pineapple,22,93,12.69256136,337,Good
Orange,24,95,15.08413665,371,Bad
Tomato,24,95,12.13341843,286,Bad
Orange,24,95,14.83589827,393,Bad
Orange,22,95,7.404343951,349,Good
Tomato,25,95,15.76515749,315,Bad
Tomato,23,95,14.51078894,306,Bad
Orange,23,95,14.83589827,217,Bad
Orange,23,95,15.25176672,453,Bad
Orange,24,95,15.25176672,380,Bad
Pineapple,22,94,12.83585424,327,Good
Pineapple,22,95,12.83585424,336,Good
Pineapple,25,95,9.420521035,437,Bad
Orange,22,95,6.48823229,251,Good
Orange,23,95,16.84124175,247,Bad
Orange,23,95,8.264637967,176,Good
Orange,23,95,16.29477154,260,Bad
Orange,24,95,14.75399666,372,Bad
Banana,26,95,17.79130513,314,Good
Tomato,23,89,7.969740423,297,Good
Tomato,23,88,6.956882353,292,Good
Orange,22,95,5.042126986,350,Good
Banana,26,90,20.85352641,407,Good
Pineapple,24,95,14.19224347,341,Good
Orange,22,95,5.471478228,304,Good
Banana,24,95,17.02725828,246,BAD
Pineapple,22,95,13.95754575,344,Good
Tomato,23,87,6.043008199,284,Good
Pineapple,24,95,14.1136139,347,Good
Orange,22,95,6.48823229,250,Good
Tomato,24,95,16.11639251,338,Bad
Orange,23,95,8.465927903,188,Good
Banana,24,95,16.02789778,246,BAD
Tomato,25,95,7.542720421,193,Good
Orange,22,95,5.007419045,346,Good
Pineapple,23,85,12.76402932,345,Good
Banana,26,94,15.33623116,304,Good
Pineapple,25,95,9.987371503,316,Bad
Tomato,25,95,14.19224347,381,Bad
Orange,23,95,15.16773612,449,Bad
Pineapple,23,95,12.41021712,331,Good
Pineapple,23,95,13.05349201,345,Good
Tomato,23,89,12.48027818,340,Good
Orange,22,95,7.404343951,348,Good
Banana,26,95,16.74896501,308,Good
Orange,22,95,7.873279406,307,Good
Orange,23,95,8.364807255,179,Good
Tomato,24,95,12.98058343,303,Bad
Tomato,23,92,10.10404473,357,Good
Pineapple,24,95,14.03538213,323,Good
Tomato,23,91,8.31460431,369,Good
Pineapple,25,95,9.8718154,308,Bad
Orange,23,95,16.65717174,248,Bad
Tomato,22,92,9.587732994,360,Good
Pineapple,25,95,10.04556771,308,Bad
Banana,26,90,20.29041491,376,Good
Banana,24,86,12.69256136,346,Good
Orange,24,95,14.83589827,383,Bad
Orange,23,95,8.516848104,185,Good
Orange,22,95,9.365314571,182,Good
Orange,22,95,8.827487661,167,Good
Orange,22,95,6.48823229,256,Good
Pineapple,23,91,12.76402932,340,Good
Pineapple,23,84,12.62144823,346,Good
Orange,23,95,19.95991509,362,Bad
Orange,24,95,15.00096563,365,Bad
Tomato,23,88,8.165410187,290,Good
Tomato,25,95,15.76515749,313,Bad
Tomato,24,93,11.20647613,371,Good
Pineapple,24,95,12.69256136,413,Bad
Orange,22,95,8.619414571,376,Good
Tomato,25,95,15.50647254,323,Bad
Orange,23,95,15.59225501,253,Bad
Orange,22,95,8.0671142,172,Good
Banana,24,95,12.27113269,249,BAD
Orange,22,95,4.972872478,345,Good
Orange,22,95,6.446808067,252,Good
Orange,23,95,4.47356027,336,Good
Orange,23,95,14.75399666,215,Bad
Pineapple,25,95,11.27059687,415,Bad
Orange,23,95,5.007419045,341,Good
Tomato,23,89,12.76402932,346,Good
Pineapple,25,95,10.04556771,304,Bad
Orange,23,95,19.74258151,361,Bad
Tomato,24,95,12.27113269,367,Good
Orange,23,85,4.47356027,330,Good
Orange,23,95,19.52760946,350,Bad
Banana,24,95,12.41021712,249,BAD
Banana,26,95,20.85352641,397,Good
Tomato,25,95,12.62144823,304,Bad
Banana,26,95,17.69401633,316,Good
Orange,23,95,19.85095108,351,Bad
Orange,24,95,14.83589827,433,Bad
Pineapple,25,95,11.20647613,323,Bad
Orange,22,95,6.48823229,261,Good
Orange,24,95,17.02725828,272,Bad
Orange,23,89,4.377830797,330,Good
Pineapple,22,93,12.69256136,323,Good
Tomato,22,92,10.34079221,357,Good
Banana,26,94,13.80304952,305,Good
Orange,23,95,19.95991509,333,Bad
Orange,22,95,6.613669965,259,Good
Pineapple,24,95,13.95754575,324,Good
Orange,23,95,16.47502321,248,Bad
Tomato,24,95,16.20534945,343,Bad
Banana,25,89,20.51379641,303,Good
Orange,23,95,14.75399666,216,Bad
Orange,23,95,15.85228317,252,Bad
Orange,22,95,4.441500903,331,Good
Tomato,23,90,12.76402932,330,Good
Tomato,24,95,15.93986231,339,Bad
Orange,23,95,19.85095108,342,Bad
Tomato,23,87,6.364536513,283,Good
Orange,24,95,14.91822038,361,Bad
Tomato,23,87,6.082547355,283,Good
Orange,23,95,4.870193845,352,Good
Orange,23,80,16.11639251,252,Bad
Banana,24,95,16.65717174,253,BAD
Tomato,25,95,15.50647254,320,Bad
Orange,23,95,16.38466179,260,Bad
Tomato,25,95,15.85228317,313,Bad
Orange,23,95,6.869873736,256,Good
Tomato,25,95,13.3488037,388,Bad
Orange,23,95,19.85095108,349,Bad
Tomato,25,95,12.55068787,376,Bad
Pineapple,25,95,11.01598084,293,Bad
Banana,25,87,13.57421101,336,Good
Orange,23,95,8.88012605,193,Good
Orange,24,95,14.83589827,370,Bad
Tomato,22,92,9.8718154,355,Good
Pineapple,25,95,11.27059687,299,Bad
Tomato,23,90,12.76402932,320,Good
Orange,22,95,6.571662296,247,Good
